Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt
Albert Park,2,h,1110000,S,6/8/16,3,3206,1,1,0,147,,1900
Albert Park,2,h,1550000,S,7/5/16,3,3206,2,1,1,167,,
Albert Park,4,h,2300000,S,7/5/16,3,3206,4,2,1,153,180,1880
Albert Park,3,t,1550000,VB,7/11/16,3,3206,3,2,2,718,,
Albert Park,3,h,1800000,VB,7/11/16,3,3206,3,2,1,132,159,1996
Albert Park,2,h,2120000,S,10/9/16,3,3206,2,1,1,199,107,1900
Albert Park,3,h,1800000,VB,10/9/16,3,3206,3,1,1,253,,
Albert Park,3,h,1800000,S,10/9/16,3,3206,3,2,1,90,122,1900
Albert Park,2,h,1810000,PI,10/12/16,3,3206,2,1,0,240,,
Albert Park,3,h,2615000,S,10/12/16,3,3206,3,2,1,177,181,1880
Albert Park,5,h,2100000,S,10/12/16,3,3206,5,2,1,237,,
Albert Park,3,h,1300000,S,10/12/16,3,3206,3,1,0,129,,
Albert Park,3,h,1370000,S,12/6/16,3,3206,3,2,2,0,85,2000
Albert Park,2,h,1000000,S,12/11/16,3,3206,2,1,0,288,,
Albert Park,3,h,2575000,S,15/10/16,3,3206,3,2,1,228,,
Albert Park,2,h,1322500,S,15/10/16,3,3206,2,1,0,149,98,1890
Albert Park,2,h,1562500,S,15/10/16,3,3206,2,1,0,141,83,1890
Albert Park,3,h,2000000,VB,16/4/16,3,3206,3,2,1,211,147,1900
Albert Park,3,h,1900000,S,18/3/17,3,3206,3,1,0,209,,1900
Albert Park,3,h,3010000,S,18/3/17,3,3206,3,2,0,147,146,1890
Albert Park,4,h,2800000,VB,18/6/16,3,3206,4,3,1,327,254,1910
Albert Park,2,u,647000,S,22/5/16,3,3206,2,1,1,0,,
Albert Park,3,h,2100000,SP,23/4/16,3,3206,2,1,1,120,123,1900
Albert Park,3,h,2000000,PI,24/9/16,3,3206,3,1,1,238,131,1890
Albert Park,1,u,442500,S,25/2/17,3,3206,1,1,0,0,34,1970
Albert Park,4,h,4735000,S,25/2/17,3,3206,4,2,1,330,207,1910
Albert Park,2,h,1340000,S,25/2/17,3,3206,2,1,0,136,,
Albert Park,3,h,1801000,S,25/2/17,3,3206,3,1,1,202,,
Albert Park,3,h,1532000,S,26/7/16,3,3206,3,3,1,0,,
Albert Park,3,h,3755000,S,26/7/16,3,3206,3,2,2,325,,
Albert Park,4,h,2140000,S,27/6/16,3,3206,3,2,1,183,145,1880
Albert Park,2,h,1750000,S,27/11/16,3,3206,2,1,1,162,,
Albert Park,2,h,980000,S,28/5/16,3,3206,2,1,0,79,68,1890
Albert Park,3,h,2030000,S,28/8/16,3,3206,3,2,0,152,,
Albert Park,3,h,1740000,PI,28/8/16,3,3206,3,2,2,147,134,1890
Albert Park,3,h,2800000,VB,30/7/16,3,3206,3,3,1,0,,
Albert Park,1,h,985000,S,30/7/16,3,3206,1,1,0,81,54,1900
Alphington,4,h,2000000,S,3/9/16,6,3078,3,2,4,853,263,1930
Alphington,3,h,1110000,S,3/9/16,6,3078,3,2,2,208,,2013
Alphington,3,h,1492000,S,4/3/17,6,3078,3,2,2,411,,
Alphington,4,h,1717500,S,8/10/16,6,3078,4,2,1,599,203,1925
Alphington,5,h,2840000,S,12/6/16,6,3078,5,4,4,809,165,1910
Alphington,2,u,525500,S,12/11/16,6,3078,2,1,1,88,60,1960
Alphington,2,t,805000,S,12/11/16,6,3078,2,2,3,155,140,2004
Alphington,2,u,465000,S,12/11/16,6,3078,2,1,1,0,,
Alphington,3,h,2000000,PI,15/10/16,6,3078,3,3,2,686,,
Alphington,3,h,1540000,S,16/4/16,6,3078,3,1,2,592,,
Alphington,2,u,820000,S,18/3/17,6,3078,2,1,1,183,,
Alphington,4,h,1830000,S,19/11/16,6,3078,4,2,2,606,112,1970
Alphington,4,h,2100000,S,19/11/16,6,3078,4,2,2,575,271,2008
Alphington,3,h,865000,SP,22/5/16,6,3078,3,1,1,180,131,2010
Alphington,2,u,390000,VB,22/5/16,6,3078,2,1,1,0,60,1960
Alphington,2,t,650000,SP,24/9/16,6,3078,0,1,0,0,,
Alphington,2,u,512000,S,25/2/17,6,3078,2,1,1,0,61,1965
Alphington,3,h,1165000,S,27/6/16,6,3078,3,1,2,979,,
Alphington,4,h,1900000,SP,27/11/16,6,3078,4,2,2,556,272,1930
Alphington,3,h,1485000,SP,28/8/16,6,3078,3,0,0,597,,
Alphington,4,h,1950000,S,30/7/16,6,3078,4,2,3,589,210,1920
Altona,3,h,520000,VB,3/9/16,14,3018,3,2,1,352,242,2015
Altona,5,h,1525000,S,3/12/16,14,3018,5,3,3,729,268,2005
Altona,2,t,720000,S,4/2/16,14,3018,2,1,2,292,125,2013
Altona,3,h,1120000,S,4/3/17,14,3018,3,1,2,506,120,1930
Altona,4,h,780000,PI,4/6/16,14,3018,4,1,4,655,,
Altona,4,h,1780000,SP,4/6/16,14,3018,4,3,6,1057,220,1962
Altona,3,u,630000,S,6/8/16,14,3018,2,1,2,311,94,1955
Altona,2,u,406000,SP,6/8/16,14,3018,2,1,1,65,,
Altona,3,h,660000,VB,7/5/16,14,3018,3,1,1,602,123,1955
Altona,3,h,683500,S,7/11/16,14,3018,3,1,1,530,,
Altona,2,u,580000,S,8/10/16,14,3018,2,1,1,225,93,1988
Altona,3,h,1335000,S,8/10/16,14,3018,3,1,4,777,22,1953
Altona,3,t,800000,SP,8/10/16,14,3018,3,2,2,280,,1997
Altona,2,u,510000,S,10/9/16,14,3018,2,1,1,127,76,1990
Altona,4,h,1070000,S,10/9/16,14,3018,4,2,2,695,,
Altona,2,u,425000,S,10/9/16,14,3018,2,1,2,115,57,1980
Altona,3,u,605000,S,10/12/16,14,3018,3,2,2,230,,
Altona,3,t,705000,S,11/2/17,14,3018,3,2,2,197,152,
Altona,2,u,391000,SP,11/2/17,14,3018,2,1,1,0,65,1965
Altona,2,u,440000,SP,11/2/17,14,3018,2,1,1,0,,
Altona,4,h,845000,S,11/2/17,14,3018,4,1,2,745,130,1950
Altona,3,t,743000,SP,12/11/16,14,3018,3,2,2,211,176,
Altona,3,u,730000,SP,13/8/16,14,3018,3,2,1,69,141,2014
Altona,3,h,635000,S,14/5/16,14,3018,3,1,4,625,,1960
Altona,2,u,620000,SP,14/5/16,14,3018,2,1,1,168,,
Altona,2,u,447000,S,15/10/16,14,3018,2,1,1,137,77,1990
Altona,3,u,730000,SP,16/4/16,14,3018,3,2,1,70,,
Altona,3,h,678000,S,16/4/16,14,3018,3,1,2,606,87,1950
Altona,2,u,580000,PI,16/7/16,14,3018,2,2,1,175,76,2013
Altona,3,h,712000,S,17/9/16,14,3018,3,1,2,363,,
Altona,3,h,840000,SP,18/3/17,14,3018,3,2,2,534,136,1965
Altona,3,h,980000,S,19/11/16,14,3018,3,1,2,724,,
Altona,3,t,605100,S,22/5/16,14,3018,3,2,0,265,,
Altona,3,h,880000,PI,22/8/16,14,3018,3,3,1,577,,
Altona,3,u,577000,S,23/4/16,14,3018,3,2,1,205,113,2007
Altona,4,h,1030000,S,25/2/17,14,3018,4,1,0,797,,
Altona,3,u,605000,S,25/2/17,14,3018,3,1,2,181,,
Altona,3,h,753000,S,27/6/16,14,3018,3,2,2,529,,
Altona,2,h,857000,SP,27/11/16,14,3018,2,2,1,675,100,1950
Altona,3,h,1500000,S,28/5/16,14,3018,3,1,1,929,,
Altona,3,u,730000,SP,28/5/16,14,3018,3,2,1,70,3,2014
Altona,3,h,900000,S,28/5/16,14,3018,3,1,4,697,,
Altona,3,h,740000,S,28/8/16,14,3018,3,1,2,604,,
Altona,4,h,931000,S,28/8/16,14,3018,4,2,3,532,,1970
Altona,2,h,535600,SP,30/7/16,14,3018,2,1,1,154,91,1996
Altona North,5,h,1085000,S,3/9/16,11,3025,5,3,6,592,251,1965
Altona North,3,h,781000,S,3/9/16,11,3025,3,1,2,533,117,1970
Altona North,3,h,750000,SP,4/3/17,11,3025,3,1,3,554,,
Altona North,2,t,421000,S,4/3/17,11,3025,2,1,1,77,77,2009
Altona North,3,h,1405000,S,4/3/17,11,3025,3,1,3,655,,
Altona North,3,h,683000,S,4/6/16,11,3025,3,1,2,534,167,1967
Altona North,3,h,623000,S,4/6/16,11,3025,3,1,3,540,,
Altona North,3,h,720000,VB,6/8/16,11,3025,3,2,1,0,130,2012
Altona North,3,h,588000,S,7/5/16,11,3025,3,1,1,328,118,1970
Altona North,3,h,710000,PI,7/11/16,11,3025,3,1,3,540,116,1960
Altona North,4,h,875000,SP,8/10/16,11,3025,3,1,4,559,169,1965
Altona North,3,h,700000,VB,10/12/16,11,3025,3,1,3,554,,
Altona North,2,t,640000,S,11/3/17,11,3025,2,1,1,252,,1965
Altona North,4,h,650000,SP,12/6/16,11,3025,4,1,4,558,,
Altona North,3,h,675000,S,14/5/16,11,3025,3,2,2,171,109,2012
Altona North,3,h,708000,S,15/10/16,11,3025,3,1,2,585,97,1960
Altona North,4,h,965000,SP,15/10/16,11,3025,4,1,4,851,,
Altona North,3,h,680000,S,19/11/16,11,3025,3,1,3,551,,
Altona North,3,h,770000,SP,19/11/16,11,3025,3,1,3,602,603,
Altona North,3,h,923000,S,22/5/16,11,3025,3,1,2,740,,
Altona North,4,h,693000,SP,22/5/16,11,3025,4,2,4,315,170,2008
Altona North,3,h,620000,SP,22/8/16,11,3025,5,2,2,276,100,2010
Altona North,3,h,728500,S,22/8/16,11,3025,3,1,1,531,157,1960
Altona North,3,h,931000,S,22/8/16,11,3025,3,2,1,590,160,1950
Altona North,3,h,988000,S,22/8/16,11,3025,3,1,4,715,,2008
Altona North,3,h,590000,S,23/4/16,11,3025,3,1,2,561,,
Altona North,2,h,610000,S,24/9/16,11,3025,2,1,2,691,,
Altona North,3,h,815000,S,25/2/17,11,3025,3,2,3,555,130,1960
Altona North,4,h,970000,S,25/2/17,11,3025,4,1,2,708,,
Altona North,4,h,760000,S,27/6/16,11,3025,4,1,3,668,,
Altona North,4,t,847500,S,27/6/16,11,3025,4,3,1,252,,
Altona North,4,h,1200000,SP,27/11/16,11,3025,4,1,4,633,158,1960
Altona North,3,h,700000,SP,27/11/16,11,3025,3,1,1,557,,
Altona North,3,h,625000,PI,28/5/16,11,3025,3,1,1,536,,
Altona North,2,u,292000,S,28/8/16,11,3025,2,1,1,153,70,1970
Armadale,2,u,599000,S,3/9/16,6,3143,2,1,1,0,76,1964
Armadale,2,u,550000,VB,3/12/16,6,3143,2,1,0,861,,
Armadale,3,u,995000,S,3/12/16,6,3143,3,2,2,0,100,1998
Armadale,3,t,1205000,S,3/12/16,6,3143,3,2,2,101,105,2000
Armadale,3,h,1939000,S,3/12/16,6,3143,3,2,2,296,150,1889
Armadale,1,u,421500,S,3/12/16,6,3143,1,1,0,0,,
Armadale,3,h,1870000,S,4/3/17,6,3143,3,1,1,217,116,1888
Armadale,2,u,678000,S,4/3/17,6,3143,2,1,2,0,,
Armadale,3,t,1918000,SP,4/3/17,6,3143,3,2,2,0,165,1995
Armadale,2,u,660000,SP,4/3/17,6,3143,2,1,1,0,,
Armadale,3,h,2050000,S,4/3/17,6,3143,3,2,1,205,116,1910
Armadale,2,u,700000,VB,4/6/16,6,3143,2,1,2,0,,
Armadale,2,u,3625000,S,4/6/16,6,3143,3,2,2,0,,2006
Armadale,4,h,3000000,VB,4/6/16,6,3143,4,2,2,1581,,1934
Armadale,5,h,1525000,PI,7/5/16,6,3143,8,2,2,693,,
Armadale,3,u,735000,PI,7/5/16,6,3143,3,2,1,2113,14,1970
Armadale,2,u,825000,S,7/5/16,6,3143,2,1,1,0,,
Armadale,3,t,1586000,S,7/5/16,6,3143,2,2,2,246,,
Armadale,2,u,645000,S,8/10/16,6,3143,3,1,1,0,,1960
Armadale,1,h,1435000,SP,8/10/16,6,3143,2,2,1,144,107,1900
Armadale,1,u,280000,PI,10/9/16,6,3143,1,1,1,0,38,1975
Armadale,1,u,400000,PI,10/12/16,6,3143,1,1,1,0,,
Armadale,2,h,1780000,S,10/12/16,6,3143,2,2,2,0,,
Armadale,2,u,592500,S,10/12/16,6,3143,2,1,1,0,73,1970
Armadale,2,h,1210000,S,12/11/16,6,3143,2,1,0,249,96,1910
Armadale,4,h,2801000,S,12/11/16,6,3143,4,2,2,624,222,1900
Armadale,1,u,390000,S,14/5/16,6,3143,1,1,0,881,,
Armadale,3,h,1800000,PI,15/10/16,6,3143,3,2,2,405,121,1910
Armadale,4,h,2200000,PI,15/10/16,6,3143,4,1,2,495,163,1900
Armadale,1,u,324000,S,16/4/16,6,3143,1,1,1,0,,
Armadale,6,h,5525000,S,17/9/16,6,3143,5,3,4,1491,516,1935
Armadale,2,h,1125000,S,17/9/16,6,3143,3,1,2,169,,
Armadale,3,h,2250000,S,17/9/16,6,3143,3,3,1,301,,
Armadale,3,h,2360000,S,18/3/17,6,3143,3,2,0,336,,
Armadale,2,h,1900000,VB,18/3/17,6,3143,2,2,0,207,,
Armadale,1,u,440000,SP,18/3/17,6,3143,1,1,1,0,53,1970
Armadale,2,u,490000,PI,18/6/16,6,3143,2,1,1,0,,1966
Armadale,3,h,2365000,S,18/6/16,6,3143,3,2,1,316,,
Armadale,3,h,1300000,VB,18/6/16,6,3143,2,1,2,212,106,1900
Armadale,3,u,732000,S,18/6/16,6,3143,3,2,2,0,,
Armadale,2,u,704000,SP,19/11/16,6,3143,2,1,1,0,74,1969
Armadale,2,u,620000,VB,19/11/16,6,3143,3,1,1,0,98,1970
Armadale,3,h,1900000,S,22/5/16,6,3143,3,1,2,328,108,1900
Armadale,1,u,315000,SP,22/8/16,6,3143,1,1,1,0,,
Armadale,1,u,450000,PI,24/9/16,6,3143,1,1,1,0,,
Armadale,2,u,710000,S,25/2/17,6,3143,2,1,1,2471,80,1970
Armadale,2,u,872000,S,25/2/17,6,3143,2,1,1,1194,,1953
Armadale,2,u,598000,S,25/2/17,6,3143,2,1,1,0,88,1970
Armadale,3,h,1285000,S,25/2/17,6,3143,3,1,2,186,80,1920
Armadale,4,h,3660000,S,25/2/17,6,3143,4,3,2,421,,
Armadale,2,u,520000,S,27/6/16,6,3143,1,1,1,0,76,1970
Armadale,4,h,3625000,S,27/11/16,6,3143,4,1,2,709,251,1900
Armadale,4,h,4200000,VB,27/11/16,6,3143,4,3,3,563,333,2000
Armadale,3,t,1101000,S,27/11/16,6,3143,3,1,2,103,3,2000
Armadale,3,h,3512500,S,27/11/16,6,3143,3,2,2,617,285,1998
Armadale,4,h,2000000,PI,28/5/16,6,3143,4,3,4,544,,
Armadale,3,u,869000,S,28/5/16,6,3143,2,1,1,0,91,1940
Armadale,5,h,2810000,S,28/8/16,6,3143,5,2,2,617,,
Armadale,2,u,565000,S,28/8/16,6,3143,3,1,1,0,,
Armadale,1,u,567000,S,28/8/16,6,3143,1,1,1,0,53,2013
Armadale,2,u,546000,SP,30/7/16,6,3143,2,0,0,0,,
Armadale,2,u,471500,S,30/7/16,6,3143,2,1,1,0,,1980
Ascot Vale,2,u,455000,S,3/9/16,6,3032,3,1,2,0,,
Ascot Vale,3,h,940000,S,3/12/16,6,3032,3,1,2,298,108,1920
Ascot Vale,2,u,467000,SP,3/12/16,6,3032,2,1,1,0,62,1980
Ascot Vale,3,h,1380000,SP,4/3/17,6,3032,3,2,2,277,174,1910
Ascot Vale,2,u,490000,VB,4/3/17,6,3032,2,1,1,423,62,1970
Ascot Vale,4,h,1850000,S,4/3/17,6,3032,4,3,1,478,270,1900
Ascot Vale,3,h,1284000,S,4/3/17,6,3032,3,1,2,623,,1938
Ascot Vale,3,h,971000,SP,4/6/16,6,3032,3,2,2,285,128,1900
Ascot Vale,2,h,710000,PI,4/6/16,6,3032,2,1,1,214,77,1890
Ascot Vale,6,h,2425000,PI,4/6/16,6,3032,6,3,2,1014,435,1887
Ascot Vale,2,h,750000,SP,4/6/16,6,3032,2,1,1,226,92,1920
Ascot Vale,2,h,1053000,S,6/8/16,6,3032,2,1,1,269,109,1900
Ascot Vale,3,h,1377000,S,6/8/16,6,3032,3,1,1,417,168,1900
Ascot Vale,3,h,970000,S,7/5/16,6,3032,3,1,2,350,125,1904
Ascot Vale,2,h,940000,S,7/5/16,6,3032,2,1,1,330,,
Ascot Vale,2,h,751000,PI,7/5/16,6,3032,2,1,1,118,79,1890
Ascot Vale,2,h,950000,SP,7/5/16,6,3032,2,1,1,173,102,1900
Ascot Vale,2,u,685000,S,7/11/16,6,3032,2,1,2,228,90,1995
Ascot Vale,3,h,1230000,S,8/10/16,6,3032,4,1,2,594,148,1960
Ascot Vale,2,h,636500,S,8/10/16,6,3032,2,1,1,0,,
Ascot Vale,3,h,910000,S,8/10/16,6,3032,3,1,0,317,,
Ascot Vale,2,h,770000,PI,10/9/16,6,3032,2,1,1,226,87,1900
Ascot Vale,3,h,960000,S,10/12/16,6,3032,3,2,2,229,,2011
Ascot Vale,4,h,890000,SP,10/12/16,6,3032,4,1,1,300,185,1890
Ascot Vale,2,h,965000,S,10/12/16,6,3032,2,1,1,170,,
Ascot Vale,3,h,1440000,S,11/2/17,6,3032,3,1,1,487,131,1900
Ascot Vale,2,h,955000,S,11/3/17,6,3032,2,1,0,255,,
Ascot Vale,2,u,450000,VB,12/11/16,6,3032,2,1,1,0,,2010
Ascot Vale,3,h,801000,S,12/11/16,6,3032,3,1,2,431,,1950
Ascot Vale,3,h,1000000,PI,12/11/16,6,3032,3,2,2,440,120,1955
Ascot Vale,3,h,1435000,S,12/11/16,6,3032,3,2,2,532,147,1950
Ascot Vale,1,u,390000,S,12/11/16,6,3032,1,1,1,0,58,1972
Ascot Vale,3,h,1425000,PI,13/8/16,6,3032,3,2,2,495,139,1920
Ascot Vale,4,h,1340000,S,14/5/16,6,3032,3,2,2,683,232,1978
Ascot Vale,3,h,955000,S,14/5/16,6,3032,3,1,1,263,117,1910
Ascot Vale,4,h,1100000,VB,15/10/16,6,3032,4,2,5,559,195,1920
Ascot Vale,3,h,1255000,S,15/10/16,6,3032,3,2,2,308,,
Ascot Vale,2,u,432000,S,15/10/16,6,3032,2,1,1,0,62,1978
Ascot Vale,4,h,1640000,S,16/4/16,6,3032,4,3,2,562,204,1890
Ascot Vale,6,h,1430000,S,16/4/16,6,3032,4,2,1,461,286,1900
Ascot Vale,2,u,610000,SP,16/4/16,6,3032,2,1,1,301,104,1995
Ascot Vale,3,h,940000,S,16/4/16,6,3032,3,3,1,491,127,1950
Ascot Vale,3,h,890000,SP,16/7/16,6,3032,3,1,1,242,110,1920
Ascot Vale,3,h,1180000,SP,17/9/16,6,3032,3,2,2,617,149,1930
Ascot Vale,4,h,1480000,S,17/9/16,6,3032,4,2,2,597,180,1939
Ascot Vale,2,h,1150000,S,18/3/17,6,3032,2,1,1,387,,
Ascot Vale,3,h,1350000,S,18/3/17,6,3032,3,1,3,575,,
Ascot Vale,5,h,1905000,S,18/3/17,6,3032,5,2,2,521,,
Ascot Vale,2,t,865000,SP,18/3/17,6,3032,2,2,1,146,132,2015
Ascot Vale,2,t,705000,S,18/6/16,6,3032,2,2,1,113,,1998
Ascot Vale,2,u,442000,S,18/6/16,6,3032,2,1,1,0,62,1975
Ascot Vale,2,u,540000,S,19/11/16,6,3032,2,2,1,0,,
Ascot Vale,3,h,1037500,S,19/11/16,6,3032,3,1,2,506,110,1920
Ascot Vale,3,t,1050000,S,19/11/16,6,3032,3,2,2,318,160,2013
Ascot Vale,2,u,440000,S,19/11/16,6,3032,2,1,1,0,65,1970
Ascot Vale,2,h,1010000,S,19/11/16,6,3032,2,1,1,325,,
Ascot Vale,4,h,1430000,S,22/5/16,6,3032,4,2,0,418,158,1900
Ascot Vale,2,u,570000,VB,22/5/16,6,3032,2,1,1,0,,
Ascot Vale,2,u,690000,S,22/5/16,6,3032,2,1,1,0,,
Ascot Vale,3,h,1291000,S,23/4/16,6,3032,3,1,2,414,,
Ascot Vale,3,h,1130000,S,23/4/16,6,3032,3,2,1,272,157,1900
Ascot Vale,3,h,1135000,S,24/9/16,6,3032,3,1,1,296,104,1910
Ascot Vale,4,h,950000,PI,24/9/16,6,3032,4,2,1,298,147,1920
Ascot Vale,3,u,790000,PI,24/9/16,6,3032,3,2,1,0,148,
Ascot Vale,2,u,390000,PI,25/2/17,6,3032,2,1,1,1957,69,2012
Ascot Vale,4,h,1345000,S,25/2/17,6,3032,4,1,1,552,155,1920
Ascot Vale,3,h,1381500,S,25/2/17,6,3032,3,2,2,416,168,1900
Ascot Vale,3,h,940000,S,26/7/16,6,3032,3,2,2,285,172,2011
Ascot Vale,3,h,995000,S,26/7/16,6,3032,3,2,1,314,177,2010
Ascot Vale,3,h,1050000,SP,26/7/16,6,3032,3,1,3,536,,
Ascot Vale,3,h,786000,S,26/7/16,6,3032,3,2,1,576,120,1940
Ascot Vale,2,h,705000,PI,27/6/16,6,3032,2,1,3,252,108,1910
Ascot Vale,2,h,760000,PI,27/6/16,6,3032,2,1,1,124,77,1900
Ascot Vale,3,u,487500,S,27/6/16,6,3032,3,1,3,0,,1972
Ascot Vale,3,t,1000000,S,27/11/16,6,3032,3,2,2,200,144,2003
Ascot Vale,4,h,1110000,PI,27/11/16,6,3032,4,2,1,349,,1920
Ascot Vale,4,h,1300000,PI,27/11/16,6,3032,4,1,4,664,,
